m_date,site_name,temp,ph,ec,do,탁도 (NTU),toc,tn,tp,clola-a
2018-01-06 17h,주암호,,,,,,,,,
2018-01-06 18h,주암호,,,,,,,,,
2018-01-06 19h,주암호,,,,,,,,,
2018-01-06 20h,주암호,,,,,,,,,
2018-01-06 21h,주암호,,,,,,,,,
2018-01-06 22h,주암호,,,,,,,,,
2018-01-06 23h,주암호,,,,,,,,,
2018-01-07 00h,주암호,,,,,,,,,
2018-01-07 01h,주암호,,,,,,,,,
2018-01-07 02h,주암호,,,,,,,,,
2018-01-07 03h,주암호,,,,,,,,,
2018-01-07 04h,주암호,,,,,,,,,
2018-01-07 05h,주암호,,,,,,,,,
2018-01-07 06h,주암호,,,,,,,,,
2018-01-07 07h,주암호,,,,,,,,,
2018-01-07 08h,주암호,,,,,,,,,
2018-01-07 09h,주암호,,,,,,,,,
2018-01-07 10h,주암호,,,,,,,,,
2018-01-07 11h,주암호,,,,,,,,,
2018-01-07 12h,주암호,,,,,,,,,
2018-01-07 13h,주암호,,,,,,,,,
2018-01-07 14h,주암호,,,,,,,,,
2018-01-07 15h,주암호,,,,,,,,,
2018-01-07 16h,주암호,,,,,,,,,
2018-01-07 17h,주암호,,,,,,,,,
2018-01-07 18h,주암호,,,,,,,,,
2018-01-07 19h,주암호,,,,,,,,,
2018-01-07 20h,주암호,,,,,,,,,
2018-01-07 21h,주암호,,,,,,,,,
2018-01-07 22h,주암호,,,,,,,,,
2018-01-07 23h,주암호,,,,,,,,,
2018-01-08 00h,주암호,,,,,,,,,
2018-01-08 01h,주암호,,,,,,,,,
2018-01-08 02h,주암호,,,,,,,,,
2018-01-08 03h,주암호,,,,,,,,,
2018-01-08 04h,주암호,,,,,,,,,
2018-01-08 05h,주암호,,,,,,,,,
2018-01-08 06h,주암호,,,,,,,,,
2018-01-08 07h,주암호,,,,,,,,,
2018-01-08 08h,주암호,,,,,,,,,
2018-01-08 09h,주암호,,,,,,,,,
2018-01-08 10h,주암호,,,,,,,,,
2018-01-08 11h,주암호,,,,,,,,,
2018-01-08 12h,주암호,,,,,,,,,
