model,day,col,rmse,nse
l,1,toc,0.17,0.32
r,1,tp,0.18,0.4
l,5,clola-a,0.16,0.48
l,5,tn,0.22,-0.31
c,5,toc,0.22,-0.16
l,5,tp,0.26,-0.23
l,7,clola-a,0.16,0.44
l,7,ph,0.18,0.29
l,7,rtwqi,0.23,0.49
l,7,tn,0.24,-0.62
c,7,toc,0.22,-0.16
l,7,tp,0.28,-0.39
l,14,clola-a,0.21,0.1
c,14,ec,0.23,0.11
l,14,ph,0.22,-0.07
l,14,rtwqi,0.26,0.36
g,14,tn,0.28,-1.03
c,14,toc,0.23,-0.26
l,14,tp,0.33,-0.9
