model,day,col,rmse,nse
g,1,a_humidity,0.15,0.49
l,5,M73,0.15,0.13
l,5,a_humidity,0.18,0.23
l,5,clola-a,0.16,0.37
c,5,tn,0.15,-0.06
l,5,tp,0.12,0.27
l,7,M73,0.16,0.11
l,7,a_humidity,0.18,0.2
l,7,clola-a,0.17,0.3
c,7,tn,0.15,0
l,7,tp,0.13,0.16
l,14,M73,0.19,-0.49
g,14,a_humidity,0.19,0.15
l,14,clola-a,0.19,0.14
r,14,do,0.16,0.46
c,14,ec,0.2,0.44
r,14,rtwqi,0.21,0.25
c,14,tn,0.17,-0.26
l,14,toc,0.18,0.24
l,14,tp,0.14,0.03
